episode,reward_mean,policy_loss,value_loss,entropy,avg_speed,avg_waiting,lr,entropy_coef,timestamp
159,0.172757,-0.000044,0.931313,1.314220,3.4765,6.7233,0.00004523,0.048435,2026-04-19T10:37:13.476444
160,-0.134366,-0.000069,0.917182,1.350275,0.3180,122.8847,0.00004504,0.048425,2026-04-19T10:37:31.117719
161,0.182997,-0.000052,0.932206,1.329808,3.7430,5.8556,0.00004485,0.048415,2026-04-19T10:37:43.786798
162,0.168518,-0.000122,0.934851,1.328875,3.2137,10.5456,0.00004466,0.048406,2026-04-19T10:37:56.642867
163,-0.128205,-0.000089,0.913917,1.359139,0.2074,140.2548,0.00004447,0.048396,2026-04-19T10:38:14.654627
164,-0.059803,-0.000051,0.905240,1.354703,0.8053,102.4467,0.00004428,0.048386,2026-04-19T10:38:30.092502
165,-0.123274,-0.000085,0.910276,1.357361,0.3889,122.9144,0.00004409,0.048377,2026-04-19T10:38:46.565174
166,-0.112593,-0.000063,0.884321,1.357090,0.4174,125.5606,0.00004389,0.048367,2026-04-19T10:39:03.820413
167,0.189559,-0.000068,0.918555,1.354125,4.9626,2.3003,0.00004370,0.048357,2026-04-19T10:39:16.084674
168,-0.103588,-0.000045,0.899913,1.359529,0.3713,122.4128,0.00004351,0.048348,2026-04-19T10:39:33.192821
169,0.176939,-0.000078,0.954918,1.357175,4.8422,2.1373,0.00004331,0.048338,2026-04-19T10:39:45.518108
170,0.087565,-0.000034,0.929066,1.356382,2.1306,23.9751,0.00004312,0.048328,2026-04-19T10:39:59.733200
171,0.195715,-0.000106,0.951378,1.344821,4.3979,2.8042,0.00004292,0.048319,2026-04-19T10:40:12.528593
172,0.173348,-0.000061,0.938174,1.351994,4.9575,1.9696,0.00004273,0.048309,2026-04-19T10:40:24.805124
173,-0.109898,-0.000078,0.894496,1.351452,0.4471,117.5887,0.00004253,0.048299,2026-04-19T10:40:42.639649
174,-0.112781,-0.000046,0.907434,1.340732,0.3482,126.2306,0.00004233,0.048290,2026-04-19T10:41:00.344725
175,0.176591,-0.000042,0.962820,1.311193,3.4164,7.6148,0.00004213,0.048280,2026-04-19T10:41:13.059657
176,0.159900,-0.000072,0.880321,1.322824,2.9188,12.6284,0.00004194,0.048270,2026-04-19T10:41:26.186380
177,-0.137810,-0.000050,0.894458,1.350556,0.2486,136.4341,0.00004174,0.048261,2026-04-19T10:41:44.625206
178,0.158349,-0.000116,0.949640,1.323419,3.2810,7.6237,0.00004154,0.048251,2026-04-19T10:41:57.564828
179,0.155557,-0.000094,0.929888,1.328257,2.9560,11.9573,0.00004134,0.048241,2026-04-19T10:42:10.683856
180,-0.094154,-0.000089,0.907800,1.341723,0.4682,123.2282,0.00004114,0.048232,2026-04-19T10:42:27.434863
181,-0.055008,-0.000078,0.905947,1.321801,0.6449,106.9908,0.00004094,0.048222,2026-04-19T10:42:43.224806
182,0.161048,-0.000038,0.933780,1.314301,3.0474,9.5132,0.00004074,0.048213,2026-04-19T10:42:56.389687
183,0.188750,-0.000040,0.918000,1.321973,4.0254,4.5346,0.00004053,0.048203,2026-04-19T10:43:08.922131
184,-0.044086,-0.000088,0.909245,1.334484,0.9180,97.2852,0.00004033,0.048193,2026-04-19T10:43:23.959901
